"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Jake Smolinski","- - -",".216","13","6.9 %","17.0 %",".284","18.6 %","44.1 %","37.3 %","71","91.4 %","82.7 %","30.5 %","7.4 %","16.3 %","7.4 %","12.4 %","-0.29","-1.17","-2.69","-1.83","-0.72","30.7 %","62.7 %","46.3 %","64.7 %","92.0 %","82.7 %","46.7 %","32.1 %","21.2 %","5408"
"Delmon Young","Orioles",".270","2","2.2 %","16.1 %",".289","24.0 %","43.2 %","32.9 %","70","83.1 %","76.3 %","40.9 %","4.6 %","14.6 %","7.5 %","15.7 %","-2.06","-1.20","-2.11","3.27","-4.75","40.9 %","81.7 %","60.1 %","60.3 %","86.2 %","76.9 %","30.1 %","44.5 %","25.3 %","2140"
"Clint Barmes","Padres",".232","3","4.5 %","24.6 %",".281","23.8 %","28.6 %","47.6 %","75","90.0 %","78.7 %","39.2 %","7.0 %","12.2 %","8.5 %","8.8 %","-1.34","-1.84","3.26","-1.02","-0.88","42.2 %","69.1 %","55.2 %","62.2 %","89.6 %","78.7 %","40.0 %","28.4 %","31.6 %","1830"
"Carl Crawford","Dodgers",".240","4","5.0 %","18.6 %",".281","24.2 %","48.3 %","27.5 %","74","88.1 %","79.6 %","36.5 %","5.7 %","12.5 %","6.3 %","13.3 %","-2.48","4.20","-1.57","-3.23","-0.86","36.3 %","68.9 %","52.0 %","64.2 %","88.5 %","79.7 %","33.7 %","36.0 %","30.3 %","1201"
"Craig Gentry","- - -",".232","3","7.6 %","19.9 %",".298","20.9 %","50.8 %","28.3 %","68","89.3 %","80.8 %","41.5 %","5.0 %","13.9 %","7.3 %","11.8 %","-0.30","-4.50","0.53","2.09","-3.01","22.9 %","65.9 %","44.4 %","59.6 %","88.0 %","80.7 %","46.3 %","36.8 %","16.9 %","9571"
"Christian Colon","- - -",".245","1","7.8 %","16.8 %",".314","20.0 %","50.4 %","29.6 %","67","91.2 %","84.3 %","36.7 %","4.4 %","15.3 %","8.3 %","7.9 %","-1.56","-1.27","-1.03","0.18","2.07","29.5 %","60.2 %","44.3 %","67.4 %","93.0 %","84.2 %","31.3 %","37.5 %","31.3 %","11145"
"Eric Fryer","- - -",".225","0","11.9 %","22.2 %",".320","21.9 %","52.9 %","25.2 %","68","85.1 %","78.4 %","36.6 %","4.8 %","16.9 %","8.5 %","7.6 %","-1.08","3.89","0.22","-2.94","-2.25","19.8 %","64.8 %","43.9 %","53.2 %","85.0 %","78.4 %","33.3 %","39.6 %","27.0 %","8145"
"Ryan Hanigan","- - -",".232","5","8.2 %","21.6 %",".305","21.0 %","55.2 %","23.8 %","61","87.3 %","82.2 %","46.8 %","5.6 %","12.4 %","7.1 %","5.9 %","-0.28","-4.93","-2.24","-0.94","0.53","22.1 %","60.0 %","43.1 %","64.5 %","87.7 %","82.4 %","36.0 %","36.6 %","27.4 %","4952"
"Chris Owings","- - -",".235","28","5.3 %","24.7 %",".279","23.0 %","44.2 %","32.8 %","63","87.5 %","76.9 %","34.0 %","5.7 %","20.2 %","10.3 %","7.8 %","-1.23","-0.11","-1.46","-2.02","0.64","35.9 %","67.7 %","51.8 %","56.4 %","87.8 %","76.9 %","36.9 %","35.1 %","28.0 %","10030"
"Efren Navarro","- - -",".240","2","8.0 %","25.2 %",".301","13.8 %","54.1 %","32.1 %","69","89.5 %","83.1 %","33.2 %","5.0 %","11.2 %","9.7 %","14.7 %","-0.36","-1.73","-3.83","-1.39","-1.75","31.1 %","61.6 %","45.6 %","70.4 %","89.7 %","82.8 %","32.1 %","41.3 %","26.6 %","9854"
"Ryan LaMarre","- - -",".236","4","6.1 %","29.3 %",".286","24.0 %","47.4 %","28.6 %","68","80.5 %","74.4 %","34.8 %","6.2 %","19.6 %","8.5 %","9.0 %","-0.24","4.03","-3.47","0.66","-4.27","30.4 %","65.9 %","48.4 %","53.7 %","84.3 %","74.8 %","33.8 %","31.2 %","35.0 %","10700"
"Dan Uggla","Nationals",".183","2","13.5 %","28.4 %",".298","17.5 %","41.3 %","41.3 %","68","79.4 %","72.6 %","31.2 %","4.1 %","23.7 %","7.6 %","8.0 %","-1.29","0.91","-0.48","-0.34","4.57","22.3 %","64.3 %","42.3 %","39.4 %","84.4 %","72.0 %","50.6 %","28.4 %","21.0 %","3442"
"Stefen Romero","Mariners",".211","1","9.3 %","23.3 %",".279","24.1 %","31.0 %","44.8 %","72","81.5 %","77.7 %","30.4 %","2.6 %","17.5 %","5.7 %","8.8 %","-4.40","-7.54","3.12","1.55","2.28","25.0 %","69.5 %","43.8 %","67.9 %","84.2 %","78.8 %","27.6 %","31.0 %","41.4 %","11746"
"Travis Demeritte","Tigers",".225","3","7.5 %","33.9 %",".286","21.5 %","39.3 %","39.3 %","65","74.6 %","69.0 %","38.5 %","11.5 %","17.6 %","7.6 %","7.3 %","-2.76","-4.68","-0.61","8.10","-2.38","29.8 %","63.4 %","46.1 %","54.6 %","76.2 %","69.0 %","27.8 %","40.7 %","31.5 %","15958"
"Tyler Moore","- - -",".217","12","5.2 %","25.1 %",".259","15.8 %","38.1 %","46.0 %","67","81.9 %","74.5 %","33.1 %","4.0 %","19.3 %","8.5 %","9.4 %","-1.69","-1.31","-2.47","4.31","-0.87","33.6 %","68.9 %","51.0 %","57.0 %","82.7 %","74.1 %","45.5 %","31.5 %","22.9 %","7244"
"Rob Refsnyder","- - -",".218","4","11.1 %","18.9 %",".308","21.0 %","53.4 %","25.5 %","68","88.0 %","81.7 %","38.0 %","4.4 %","15.7 %","6.7 %","10.7 %","1.08","-2.84","-3.12","-3.01","-3.82","23.1 %","58.5 %","40.6 %","65.6 %","88.4 %","81.9 %","37.2 %","38.6 %","24.1 %","13770"
"Ronny Rodriguez","Tigers",".221","19","4.6 %","24.8 %",".254","18.3 %","41.0 %","40.7 %","66","80.6 %","68.0 %","31.1 %","7.2 %","23.8 %","9.2 %","9.2 %","0.14","1.44","-2.57","0.37","-1.48","43.5 %","65.9 %","53.4 %","53.5 %","80.2 %","68.0 %","50.4 %","30.6 %","19.0 %","11875"
"Alexei Ramirez","- - -",".245","16","4.6 %","11.6 %",".282","21.0 %","50.4 %","28.7 %","69","90.8 %","84.8 %","34.8 %","6.2 %","17.5 %","8.5 %","9.1 %","-0.86","-2.27","-0.70","-0.61","-1.74","34.1 %","64.6 %","48.6 %","74.5 %","90.7 %","84.8 %","40.7 %","39.0 %","20.2 %","5133"
"Peter Bourjos","- - -",".222","15","5.6 %","25.8 %",".275","16.4 %","48.9 %","34.7 %","68","83.7 %","73.0 %","34.1 %","4.0 %","20.5 %","8.2 %","10.0 %","-0.86","-0.66","-1.79","0.62","-0.85","33.1 %","69.3 %","50.5 %","48.7 %","85.1 %","72.7 %","38.9 %","35.3 %","25.8 %","2578"
"Billy Hamilton","- - -",".239","15","7.6 %","21.2 %",".297","23.4 %","42.8 %","33.8 %","64","87.3 %","81.2 %","41.5 %","4.4 %","9.7 %","9.2 %","11.2 %","-0.49","-0.10","-2.12","-0.77","-1.80","29.2 %","61.6 %","45.6 %","68.8 %","86.8 %","81.2 %","35.2 %","36.6 %","28.2 %","10199"
"Dioner Navarro","- - -",".221","11","7.6 %","19.0 %",".281","21.4 %","35.6 %","43.0 %","68","89.1 %","79.1 %","33.9 %","4.3 %","10.3 %","9.0 %","12.7 %","0.91","-3.02","-2.76","-2.80","-1.25","29.1 %","59.1 %","44.3 %","59.5 %","88.5 %","79.1 %","40.6 %","34.9 %","24.5 %","3179"
"Sandy Leon","Red Sox",".223","24","7.0 %","24.3 %",".283","21.6 %","40.2 %","38.2 %","62","88.4 %","81.0 %","37.1 %","4.6 %","12.0 %","9.2 %","13.6 %","-1.31","2.67","-1.26","-0.71","-0.13","31.8 %","60.0 %","45.1 %","68.2 %","88.6 %","81.0 %","41.8 %","32.1 %","26.1 %","5273"
"J.T. Riddle","Marlins",".229","18","5.2 %","22.1 %",".269","20.3 %","50.0 %","29.7 %","69","85.0 %","77.5 %","36.9 %","4.8 %","13.8 %","10.1 %","11.7 %","-0.07","-3.53","-1.52","-2.76","0.59","35.6 %","67.7 %","51.3 %","62.2 %","85.8 %","77.4 %","41.9 %","35.0 %","23.1 %","17642"
"J.J. Hardy","Orioles",".237","21","5.1 %","17.8 %",".275","17.8 %","46.9 %","35.2 %","65","92.3 %","84.5 %","42.5 %","5.3 %","15.6 %","6.0 %","8.4 %","-1.01","-1.89","-2.15","1.58","0.29","26.4 %","49.2 %","38.3 %","68.6 %","92.3 %","84.5 %","41.1 %","38.5 %","20.3 %","3797"
"Justin Maxwell","Giants",".209","7","7.3 %","27.7 %",".275","20.7 %","45.4 %","33.9 %","72","81.1 %","69.2 %","32.5 %","6.0 %","18.4 %","10.3 %","11.1 %","0.62","-2.73","-2.50","-0.99","-2.66","31.3 %","72.6 %","50.0 %","44.3 %","82.2 %","69.2 %","36.6 %","30.3 %","33.1 %","6827"
"Jose Trevino","Rangers",".258","2","2.2 %","20.9 %",".271","21.6 %","47.1 %","31.4 %","57","86.8 %","80.2 %","39.8 %","1.8 %","21.8 %","9.9 %","8.0 %","-0.04","0.61","-2.94","-2.12","-3.56","40.2 %","55.6 %","48.2 %","69.0 %","87.8 %","80.2 %","38.8 %","35.0 %","26.2 %","16725"
"Chase d'Arnaud","- - -",".227","5","7.2 %","25.8 %",".288","22.6 %","40.8 %","36.6 %","66","84.5 %","74.6 %","37.8 %","4.1 %","16.7 %","9.5 %","8.5 %","0.04","-0.63","-4.19","-1.70","-0.58","35.5 %","59.2 %","46.8 %","58.4 %","85.1 %","74.5 %","37.0 %","38.0 %","25.0 %","6652"
"Destin Hood","Marlins",".240","1","0.0 %","44.0 %",".240","21.4 %","64.3 %","14.3 %","69","92.6 %","73.6 %","34.0 %","3.0 %","18.0 %","11.0 %","11.0 %","3.77","-8.93","-1.34","-4.07","-3.68","36.7 %","68.6 %","53.0 %","38.9 %","91.4 %","73.6 %","42.9 %","42.9 %","14.3 %","9887"
"Shane Victorino","- - -",".230","1","7.8 %","15.7 %",".308","23.8 %","37.4 %","38.8 %","67","92.8 %","81.9 %","40.4 %","2.9 %","16.0 %","6.0 %","12.1 %","-1.61","-0.29","-2.93","0.45","-2.49","31.3 %","49.9 %","40.2 %","64.0 %","93.5 %","81.6 %","47.0 %","28.5 %","24.5 %","1677"
"Pedro Ciriaco","Braves",".261","1","1.3 %","25.2 %",".275","22.8 %","42.6 %","34.7 %","68","85.7 %","75.9 %","35.3 %","6.1 %","16.1 %","5.8 %","10.6 %","-2.40","-0.62","-0.83","-4.17","-0.84","50.0 %","70.1 %","59.7 %","62.2 %","86.4 %","75.9 %","40.4 %","35.8 %","23.9 %","5278"
"Christian Arroyo","- - -",".215","6","7.6 %","26.3 %",".280","18.4 %","60.1 %","21.5 %","68","88.1 %","78.4 %","35.8 %","5.9 %","14.1 %","11.8 %","12.9 %","-0.39","-0.61","-3.07","-0.51","-1.86","34.5 %","68.9 %","50.5 %","61.8 %","87.6 %","78.1 %","38.4 %","38.4 %","23.2 %","16434"
"Julio Borbon","Orioles",".308","0","0.0 %","20.0 %",".308","33.3 %","44.4 %","22.2 %","65","82.4 %","76.9 %","34.2 %","4.9 %","17.1 %","7.3 %","7.3 %","-5.60","-1.51","2.98","3.36","14.89","42.9 %","85.0 %","63.4 %","66.7 %","82.4 %","76.9 %","8.3 %","25.0 %","66.7 %","3209"
"Chris Johnson","- - -",".239","8","5.6 %","29.3 %",".284","24.2 %","46.3 %","29.6 %","68","86.1 %","71.2 %","32.6 %","5.3 %","19.4 %","7.4 %","12.4 %","-0.06","0.44","-3.15","-2.08","-2.83","34.6 %","64.1 %","49.0 %","42.6 %","87.0 %","70.9 %","36.9 %","31.6 %","31.6 %","1191"
"David Holmberg","- - -",".125","0","16.7 %","41.7 %",".364","33.3 %","66.7 %","0.0 %","66","90.0 %","73.3 %","35.4 %","","20.8 %","10.4 %","14.6 %","0.92","","-4.66","-2.33","-4.86","20.0 %","39.3 %","31.3 %","25.0 %","90.9 %","73.3 %","25.0 %","75.0 %","0.0 %","7725"
"Caleb Joseph","- - -",".227","22","5.1 %","23.1 %",".272","22.4 %","39.3 %","38.3 %","65","86.8 %","77.4 %","36.2 %","6.3 %","17.7 %","7.8 %","9.1 %","-0.82","-1.18","-1.30","-1.28","-2.55","32.9 %","66.2 %","49.3 %","60.4 %","85.9 %","77.3 %","36.5 %","34.7 %","28.7 %","7087"
"Tommy Field","Rangers",".195","2","4.4 %","35.6 %",".250","12.0 %","60.0 %","28.0 %","63","77.6 %","73.6 %","40.5 %","5.6 %","12.3 %","6.7 %","14.4 %","1.73","-2.79","0.10","-4.29","-2.62","21.4 %","49.1 %","36.4 %","63.2 %","78.9 %","74.7 %","30.8 %","53.9 %","15.4 %","6262"
"Alcides Escobar","Royals",".251","20","3.9 %","13.9 %",".284","21.5 %","46.3 %","32.3 %","64","87.8 %","81.3 %","34.5 %","5.3 %","19.0 %","8.7 %","8.3 %","-0.96","-1.33","-1.56","-1.43","-1.29","35.7 %","70.0 %","52.3 %","68.9 %","88.0 %","81.2 %","37.9 %","35.0 %","27.2 %","6310"
"Alen Hanson","- - -",".232","12","4.2 %","23.2 %",".266","16.6 %","47.4 %","36.1 %","68","86.1 %","74.7 %","34.1 %","5.5 %","12.0 %","9.4 %","12.9 %","0.06","4.07","-1.85","-2.67","-2.41","36.5 %","69.8 %","53.0 %","52.7 %","85.8 %","74.4 %","48.1 %","31.0 %","20.8 %","12926"
"Alberto Callaspo","- - -",".235","1","10.7 %","13.0 %",".315","25.4 %","38.1 %","36.5 %","69","94.1 %","90.7 %","40.2 %","3.2 %","9.4 %","5.5 %","11.2 %","-1.24","-2.56","-2.47","1.21","-0.16","17.4 %","57.5 %","37.8 %","77.8 %","94.2 %","90.5 %","37.2 %","36.7 %","26.1 %","3336"
"Willi Castro","Tigers",".230","1","5.5 %","30.9 %",".284","24.2 %","36.4 %","39.4 %","63","78.3 %","70.6 %","45.3 %","7.8 %","6.6 %","9.7 %","15.1 %","-1.73","1.37","-0.57","0.73","-5.17","42.0 %","67.0 %","53.8 %","62.8 %","75.4 %","70.2 %","35.3 %","42.7 %","22.1 %","17338"
"Garrett Jones","Yankees",".215","5","5.3 %","24.3 %",".257","18.7 %","45.8 %","35.5 %","66","86.7 %","77.0 %","37.9 %","1.5 %","16.8 %","6.0 %","10.8 %","-0.64","-1.71","-4.36","2.24","-0.29","37.0 %","64.8 %","49.2 %","64.5 %","86.1 %","77.0 %","49.5 %","27.1 %","23.4 %","2714"
"Ty Kelly","- - -",".203","3","10.6 %","19.1 %",".288","16.7 %","42.9 %","40.5 %","64","86.9 %","82.0 %","42.3 %","4.0 %","9.7 %","8.7 %","9.3 %","0.78","-2.15","-0.63","-3.07","-1.18","23.4 %","53.2 %","38.5 %","69.7 %","87.5 %","82.2 %","40.5 %","34.4 %","25.2 %","7740"
"Luis Guillorme","Mets",".227","1","9.7 %","11.8 %",".303","18.5 %","48.1 %","33.3 %","69","90.4 %","87.9 %","45.2 %","5.7 %","13.7 %","10.0 %","8.3 %","-1.23","4.13","-0.51","-1.37","-2.22","21.8 %","59.4 %","41.7 %","83.6 %","89.3 %","87.9 %","29.2 %","30.1 %","40.7 %","16451"
"Brett Phillips","- - -",".203","8","9.3 %","36.4 %",".280","20.8 %","43.5 %","35.7 %","62","76.3 %","70.2 %","39.4 %","3.3 %","11.6 %","11.7 %","11.4 %","-1.44","2.46","-1.80","-1.77","1.25","28.1 %","60.1 %","43.7 %","61.3 %","74.6 %","70.2 %","42.5 %","33.3 %","24.1 %","14735"
"Mark Zagunis","Cubs",".200","0","14.1 %","35.9 %",".313","25.0 %","50.0 %","25.0 %","63","82.2 %","73.1 %","44.3 %","3.7 %","13.0 %","9.0 %","8.7 %","-1.16","-7.66","1.56","-0.50","-7.14","19.7 %","48.7 %","34.0 %","50.0 %","83.3 %","73.5 %","40.6 %","18.8 %","40.6 %","16565"
"Nick Dini","Royals",".196","2","6.3 %","28.1 %",".270","28.2 %","20.5 %","51.3 %","62","84.5 %","76.2 %","44.0 %","1.3 %","19.0 %","7.3 %","9.5 %","-1.26","-2.46","1.72","9.45","-3.57","29.6 %","78.2 %","55.6 %","59.4 %","80.4 %","75.2 %","27.5 %","37.5 %","35.0 %","18206"
"Andrew Romine","- - -",".235","8","6.1 %","21.7 %",".292","24.2 %","49.9 %","25.9 %","64","86.3 %","77.3 %","37.7 %","4.7 %","10.8 %","6.5 %","12.0 %","-1.29","-2.43","-0.62","-0.92","-1.99","35.1 %","71.0 %","53.1 %","63.4 %","84.2 %","77.3 %","33.7 %","36.4 %","30.0 %","1159"
"John Ryan Murphy","- - -",".212","17","6.0 %","28.8 %",".261","20.6 %","38.0 %","41.4 %","64","84.6 %","75.6 %","37.1 %","5.5 %","18.2 %","10.1 %","8.8 %","-0.78","0.05","-0.94","-2.14","-3.01","31.0 %","65.1 %","47.4 %","56.6 %","84.9 %","75.3 %","44.1 %","29.5 %","26.5 %","10346"
"Gordon Beckham","- - -",".209","17","7.6 %","21.4 %",".278","17.5 %","44.0 %","38.5 %","65","85.0 %","79.2 %","40.5 %","5.2 %","16.3 %","7.2 %","8.3 %","-1.70","-5.22","0.27","-0.46","-0.18","29.0 %","65.3 %","47.2 %","66.7 %","84.7 %","79.2 %","43.0 %","33.2 %","23.8 %","9015"
"Charlie Tilson","White Sox",".246","1","7.1 %","20.7 %",".310","18.1 %","60.1 %","21.8 %","67","90.7 %","81.1 %","43.4 %","4.3 %","11.8 %","9.4 %","10.9 %","-0.65","-1.04","-3.36","2.79","-1.88","35.8 %","62.3 %","49.1 %","62.7 %","91.7 %","81.1 %","33.0 %","36.6 %","30.5 %","12983"
"Juan Centeno","- - -",".223","6","6.4 %","20.1 %",".278","26.8 %","46.8 %","26.4 %","62","89.2 %","80.1 %","38.0 %","4.5 %","12.7 %","7.6 %","10.9 %","-0.26","-0.34","0.68","-2.02","-4.12","30.2 %","57.9 %","44.7 %","58.3 %","91.1 %","80.5 %","32.6 %","36.8 %","30.5 %","7168"
"Max Stassi","- - -",".195","12","9.2 %","29.9 %",".280","18.8 %","48.7 %","32.5 %","68","79.1 %","68.8 %","34.4 %","7.0 %","19.9 %","7.6 %","8.5 %","-1.25","0.18","-1.31","-0.43","-0.19","22.8 %","63.8 %","43.7 %","32.8 %","80.4 %","68.3 %","47.1 %","34.2 %","18.8 %","10059"
"Dawel Lugo","Tigers",".237","7","3.9 %","20.3 %",".270","22.3 %","52.9 %","24.7 %","63","88.4 %","81.2 %","35.2 %","5.2 %","22.6 %","8.3 %","8.0 %","-0.71","-3.85","-0.71","2.59","-5.59","43.1 %","66.4 %","53.5 %","73.1 %","87.3 %","81.0 %","32.0 %","36.4 %","31.6 %","14713"
"Brett Eibner","- - -",".191","8","8.6 %","27.5 %",".263","19.0 %","43.1 %","37.9 %","64","76.0 %","70.7 %","34.6 %","4.4 %","21.4 %","6.3 %","10.6 %","0.08","3.30","-1.96","-3.06","-4.43","28.0 %","67.4 %","48.0 %","51.1 %","78.4 %","70.6 %","40.0 %","29.7 %","30.3 %","11369"
"Tony Gonsolin","Dodgers",".308","0","0.0 %","28.6 %",".308","22.2 %","44.4 %","33.3 %","65","77.8 %","72.0 %","46.8 %","23.4 %","10.6 %","8.5 %","6.4 %","-4.22","3.58","-4.75","-3.90","5.43","31.6 %","67.9 %","53.2 %","50.0 %","79.0 %","72.0 %","0.0 %","60.0 %","40.0 %","19388"
"Tyler Saladino","- - -",".226","19","5.8 %","23.2 %",".278","20.4 %","48.4 %","31.2 %","65","86.6 %","79.9 %","35.5 %","5.5 %","16.5 %","8.1 %","8.6 %","-1.26","-1.35","-1.60","-1.41","-1.13","25.8 %","61.7 %","44.3 %","60.9 %","87.3 %","79.8 %","42.2 %","32.9 %","25.0 %","10807"
"Steven Brault","Pirates",".265","1","2.2 %","14.0 %",".282","19.1 %","63.2 %","17.6 %","66","89.4 %","82.7 %","44.5 %","7.8 %","5.2 %","12.3 %","7.5 %","-0.99","-2.85","-0.14","-3.64","-6.22","36.0 %","69.8 %","54.6 %","70.0 %","88.1 %","82.7 %","28.2 %","39.7 %","32.1 %","15291"
"Gregorio Petit","- - -",".235","2","7.1 %","24.0 %",".290","24.6 %","47.4 %","28.1 %","66","84.1 %","75.3 %","35.2 %","4.1 %","19.1 %","6.7 %","8.5 %","-1.28","-4.43","0.71","-0.83","-1.26","39.8 %","63.3 %","51.0 %","59.4 %","86.0 %","75.2 %","33.8 %","35.9 %","30.3 %","3812"
"Drew Butera","- - -",".219","11","6.8 %","23.6 %",".278","21.1 %","34.0 %","44.9 %","61","86.4 %","78.6 %","38.3 %","6.1 %","17.7 %","7.8 %","6.4 %","-1.37","-2.51","-0.35","-1.49","-2.32","26.0 %","65.4 %","46.2 %","57.5 %","86.3 %","78.5 %","40.7 %","32.3 %","27.0 %","3411"
"Abiatal Avelino","Giants",".278","0","5.3 %","31.6 %",".316","16.7 %","75.0 %","8.3 %","66","91.7 %","64.5 %","25.4 %","7.5 %","7.5 %","9.0 %","29.9 %","-2.12","-2.47","-3.81","-0.76","-1.85","39.5 %","58.3 %","46.3 %","41.2 %","92.9 %","64.5 %","41.7 %","41.7 %","16.7 %","15496"
"Cristhian Adames","- - -",".220","2","8.5 %","20.5 %",".299","18.6 %","61.2 %","20.3 %","48","86.9 %","79.6 %","38.8 %","7.0 %","12.1 %","7.9 %","11.5 %","-2.36","-3.41","-2.49","1.00","1.48","31.4 %","67.2 %","48.5 %","61.6 %","88.6 %","79.4 %","38.0 %","36.7 %","25.3 %","6013"
"Daniel Robertson","- - -",".253","1","5.3 %","6.9 %",".293","15.6 %","60.6 %","23.8 %","63","96.5 %","92.6 %","39.1 %","2.1 %","15.1 %","7.0 %","12.2 %","-0.18","-6.03","-1.53","1.53","-2.47","17.8 %","57.3 %","40.1 %","78.4 %","95.8 %","92.4 %","37.4 %","38.6 %","24.1 %","6266"
"Ryan Flaherty","- - -",".208","14","9.0 %","25.8 %",".285","16.9 %","54.7 %","28.4 %","62","85.1 %","77.4 %","37.6 %","4.2 %","12.3 %","9.7 %","13.9 %","-1.28","-4.35","-1.67","-2.29","0.83","27.4 %","65.6 %","45.3 %","58.3 %","86.5 %","77.4 %","40.8 %","34.6 %","24.7 %","7888"
"Rene Rivera","- - -",".215","26","5.5 %","28.5 %",".266","21.1 %","38.9 %","40.0 %","65","80.2 %","70.8 %","31.3 %","5.6 %","20.8 %","9.3 %","8.9 %","-1.02","-0.90","-1.13","-1.69","-2.17","37.7 %","71.0 %","54.4 %","52.6 %","80.0 %","70.5 %","40.6 %","31.9 %","27.5 %","3648"
"Austin Wynns","Orioles",".239","5","4.2 %","20.3 %",".271","20.7 %","52.1 %","27.1 %","62","87.6 %","78.0 %","33.0 %","9.4 %","20.8 %","7.1 %","9.2 %","1.33","-4.95","-4.65","-3.68","0.02","33.0 %","59.0 %","45.7 %","61.2 %","87.9 %","78.0 %","40.7 %","35.9 %","23.5 %","15271"
"Adrian Sanchez","Nationals",".263","0","1.8 %","25.9 %",".280","26.1 %","51.3 %","22.6 %","58","85.6 %","76.3 %","33.8 %","5.7 %","17.2 %","8.9 %","7.7 %","-0.72","3.44","0.34","-2.75","-2.35","34.0 %","71.0 %","52.7 %","59.0 %","84.0 %","76.0 %","29.4 %","42.9 %","27.7 %","11338"
"Rosell Herrera","- - -",".225","3","7.1 %","20.0 %",".286","21.1 %","53.8 %","25.1 %","63","87.6 %","76.2 %","33.4 %","4.8 %","12.0 %","10.4 %","15.7 %","-0.45","1.48","-3.03","-1.80","-2.46","26.5 %","66.1 %","44.6 %","52.0 %","87.7 %","76.2 %","38.6 %","35.0 %","26.4 %","11611"
"Xavier Scruggs","- - -",".231","1","4.5 %","26.8 %",".286","21.6 %","52.7 %","25.7 %","66","78.0 %","75.4 %","32.8 %","4.7 %","19.7 %","9.6 %","8.2 %","-1.57","-2.29","0.24","-4.12","-0.46","26.3 %","61.7 %","44.7 %","68.5 %","77.4 %","74.9 %","41.9 %","39.2 %","18.9 %","7409"
"Eric Campbell","Mets",".190","4","12.2 %","20.7 %",".304","25.8 %","47.9 %","26.3 %","68","88.9 %","79.0 %","36.0 %","5.2 %","18.1 %","8.9 %","8.1 %","-2.19","2.07","-1.51","-2.10","-0.31","22.5 %","62.5 %","41.2 %","53.5 %","89.2 %","78.8 %","42.9 %","28.8 %","28.3 %","6938"
"Joey Terdoslavich","Braves",".214","1","5.1 %","23.7 %",".254","16.7 %","42.9 %","40.5 %","64","84.5 %","72.4 %","36.6 %","2.5 %","12.9 %","12.4 %","14.9 %","2.19","-14.63","-2.10","-2.41","-7.57","42.9 %","75.6 %","57.4 %","54.2 %","85.3 %","72.4 %","28.6 %","40.5 %","31.0 %","10593"
"Cole Tucker","Pirates",".211","2","6.3 %","25.2 %",".266","23.6 %","49.1 %","27.4 %","61","83.2 %","75.5 %","41.7 %","4.3 %","9.3 %","11.1 %","11.3 %","-1.06","-2.41","1.33","-1.67","-7.59","27.2 %","73.3 %","48.0 %","61.1 %","82.0 %","75.5 %","45.4 %","34.3 %","20.4 %","17326"
"Vidal Nuno","- - -",".300","0","0.0 %","0.0 %",".300","55.6 %","33.3 %","11.1 %","75","87.5 %","75.0 %","66.7 %","","8.3 %","16.7 %","","0.49","","-8.88","-1.78","","58.3 %","75.0 %","66.7 %","71.4 %","77.8 %","75.0 %","60.0 %","0.0 %","40.0 %","9674"
"Max Moroff","- - -",".183","7","10.2 %","34.8 %",".277","20.6 %","35.7 %","43.7 %","60","80.8 %","70.0 %","36.3 %","4.3 %","13.8 %","7.3 %","13.3 %","-0.98","-3.16","-1.42","-3.11","-0.67","28.7 %","62.1 %","45.5 %","48.0 %","79.6 %","69.6 %","45.0 %","33.6 %","21.4 %","14556"
"Dom Nunez","Rockies",".179","2","7.0 %","39.5 %",".233","13.0 %","30.4 %","56.5 %","44","83.0 %","75.4 %","40.7 %","3.5 %","12.1 %","13.1 %","13.1 %","1.27","3.34","-5.24","-0.78","1.25","22.0 %","50.0 %","34.7 %","58.3 %","84.4 %","75.4 %","34.8 %","43.5 %","21.7 %","15055"
"Dustin Fowler","- - -",".224","6","3.9 %","23.2 %",".256","19.7 %","40.8 %","39.5 %","66","88.9 %","80.0 %","36.0 %","5.3 %","11.0 %","8.8 %","13.8 %","0.15","-4.11","-0.62","-2.13","0.27","38.7 %","62.5 %","50.9 %","66.0 %","88.5 %","80.1 %","38.1 %","33.3 %","28.6 %","17098"
"Adam Engel","White Sox",".215","18","4.9 %","30.9 %",".271","17.9 %","41.8 %","40.3 %","63","80.4 %","69.6 %","37.0 %","5.4 %","20.2 %","8.8 %","6.5 %","-1.24","-3.19","-2.44","-0.57","-1.91","34.7 %","66.4 %","50.2 %","49.4 %","80.6 %","69.6 %","43.9 %","30.8 %","25.4 %","15082"
"L.J. Hoes","Astros",".267","0","6.3 %","18.8 %",".313","25.0 %","58.3 %","16.7 %","66","86.4 %","72.4 %","43.6 %","","14.6 %","10.9 %","7.3 %","-2.96","","7.03","3.55","-17.43","28.6 %","77.8 %","52.7 %","50.0 %","81.0 %","72.4 %","58.3 %","25.0 %","16.7 %","6656"
