"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Jeff McNeil","Mets",".321","26","6.0 %","12.1 %",".383","21.9 %","41.8 %","36.2 %","141","88.9 %","82.4 %","39.3 %","5.5 %","14.3 %","7.2 %","13.2 %","0.62","1.08","1.24","3.18","2.07","38.7 %","81.9 %","58.7 %","69.2 %","89.6 %","82.4 %","42.9 %","32.6 %","24.5 %","15362"
"Mookie Betts","Red Sox",".302","134","10.2 %","12.7 %",".374","20.2 %","37.4 %","42.5 %","135","93.5 %","86.5 %","37.9 %","5.8 %","19.2 %","7.1 %","8.9 %","1.39","-0.66","1.41","1.36","1.91","22.5 %","54.4 %","38.3 %","69.3 %","93.7 %","86.5 %","42.8 %","35.1 %","22.0 %","13611"
"Giancarlo Stanton","- - -",".266","154","11.1 %","28.0 %",".352","17.7 %","42.4 %","39.9 %","140","80.7 %","68.0 %","34.5 %","5.1 %","21.3 %","8.0 %","8.7 %","1.31","1.38","-0.39","1.80","1.42","29.4 %","64.8 %","44.4 %","45.5 %","82.0 %","68.1 %","42.3 %","35.7 %","22.0 %","4949"
"Justin Turner","Dodgers",".297","105","9.3 %","14.6 %",".378","24.7 %","33.5 %","41.9 %","139","88.7 %","85.2 %","40.5 %","5.9 %","15.9 %","7.6 %","9.1 %","1.14","-0.23","1.73","1.87","2.02","24.1 %","65.9 %","44.6 %","74.6 %","89.1 %","85.1 %","37.1 %","35.8 %","27.1 %","5235"
"Ronald Acuna Jr.","Braves",".285","67","10.1 %","25.9 %",".365","21.8 %","39.8 %","38.3 %","133","81.1 %","74.4 %","37.1 %","6.0 %","20.4 %","6.5 %","8.5 %","1.08","-0.57","0.60","2.70","1.88","25.2 %","68.6 %","45.7 %","60.4 %","79.6 %","74.1 %","41.6 %","34.2 %","24.2 %","18401"
"Jose Altuve","Astros",".323","107","7.7 %","11.9 %",".380","21.4 %","46.0 %","32.6 %","142","91.3 %","85.2 %","33.4 %","5.8 %","18.8 %","8.1 %","10.0 %","1.82","1.01","0.62","1.13","0.30","34.4 %","64.6 %","48.7 %","75.4 %","91.1 %","85.3 %","44.5 %","35.1 %","20.4 %","5417"
"Kyle Blanks","Rangers",".313","3","5.6 %","28.2 %",".352","14.9 %","38.3 %","46.8 %","136","84.4 %","73.8 %","32.7 %","7.9 %","12.2 %","7.2 %","11.9 %","0.29","-3.86","5.18","-0.49","0.95","33.3 %","71.1 %","50.7 %","52.0 %","85.7 %","73.8 %","59.6 %","23.4 %","17.0 %","49"
"Nick Solak","Rangers",".293","5","11.1 %","21.5 %",".393","19.5 %","52.9 %","27.6 %","126","88.4 %","79.7 %","35.5 %","5.6 %","19.1 %","10.4 %","11.5 %","4.10","1.04","-3.31","1.85","2.44","24.5 %","59.6 %","42.2 %","65.7 %","85.5 %","79.7 %","42.5 %","35.6 %","21.8 %","19294"
"Anthony Rendon","Nationals",".295","108","11.2 %","15.3 %",".379","21.1 %","35.2 %","43.7 %","131","91.4 %","86.9 %","38.0 %","4.9 %","18.3 %","7.9 %","8.0 %","1.10","0.47","0.20","1.29","1.91","24.1 %","61.3 %","42.5 %","77.5 %","90.6 %","86.9 %","40.6 %","31.9 %","27.5 %","12861"
"Mike Ford","Yankees",".259","12","10.4 %","17.2 %",".350","18.3 %","37.4 %","44.3 %","134","88.3 %","79.5 %","31.4 %","4.3 %","18.3 %","10.1 %","16.4 %","3.53","4.54","-1.71","-0.35","1.95","21.3 %","61.8 %","40.0 %","60.0 %","87.2 %","79.5 %","43.5 %","39.1 %","17.4 %","15585"
"Bryan Reynolds","Pirates",".314","16","8.4 %","22.2 %",".377","23.9 %","46.4 %","29.8 %","131","87.1 %","75.9 %","32.4 %","6.8 %","14.3 %","9.9 %","15.1 %","2.91","0.94","0.40","1.03","0.31","30.3 %","70.5 %","47.8 %","54.0 %","88.1 %","75.9 %","38.6 %","35.1 %","26.3 %","19326"
"Luke Voit","- - -",".273","40","11.9 %","27.2 %",".371","24.8 %","40.1 %","35.0 %","134","77.6 %","68.2 %","34.9 %","5.6 %","23.1 %","9.0 %","10.0 %","0.96","1.24","0.92","-1.34","0.79","26.9 %","74.0 %","48.3 %","40.4 %","80.6 %","68.4 %","45.2 %","34.4 %","20.4 %","14811"
"Edwin Encarnacion","- - -",".258","185","12.7 %","19.7 %",".358","20.0 %","36.0 %","44.0 %","133","84.0 %","76.9 %","33.4 %","5.8 %","20.6 %","8.0 %","9.1 %","0.80","-0.89","1.04","1.75","2.06","24.9 %","65.4 %","43.5 %","59.8 %","84.5 %","76.9 %","49.4 %","30.0 %","20.6 %","2151"
